k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,method,model_dimension,loss_norm,family_alpha,t_constant
1,141,200,59,100,17.796646678074012,17.796646678074012,84.32439192170337,4.890277459875777,0.18756896497909917,spokoiny_parametric,4,2.0,0.0,8.0
2,200,282,82,141,18.41445930401092,18.41445930401092,113.28143282180021,4.802214620627356,0.14973289452511987,spokoiny_parametric,4,2.0,0.0,8.0
3,282,400,118,200,19.002159154686588,19.002159154686588,154.95661491659044,4.657695562528424,0.1161095216521762,spokoiny_parametric,4,2.0,0.0,8.0
4,400,565,165,283,19.581974645446532,19.581974645446532,213.55672424293058,4.986053806786596,0.08776659374011059,spokoiny_parametric,4,2.0,0.0,8.0
5,565,800,235,400,20.138442015046056,20.138442015046056,295.89684467318455,4.868616650645534,0.06606607889562095,spokoiny_parametric,4,2.0,0.0,8.0
6,800,1131,331,566,20.68369286589673,20.68369286589673,411.6792857758119,5.096530176201423,0.04911529930351522,spokoiny_parametric,4,2.0,0.0,8.0
