Date,MLEs_B_11,MLEs_B_110,MLEs_B_12,MLEs_B_13,MLEs_B_14,MLEs_B_15,MLEs_B_16,MLEs_B_17,MLEs_B_18,MLEs_B_19,MLEs_B_21,MLEs_B_210,MLEs_B_22,MLEs_B_23,MLEs_B_24,MLEs_B_25,MLEs_B_26,MLEs_B_27,MLEs_B_28,MLEs_B_29,MLEs_B_31,MLEs_B_310,MLEs_B_32,MLEs_B_33,MLEs_B_34,MLEs_B_35,MLEs_B_36,MLEs_B_37,MLEs_B_38,MLEs_B_39,MLEs_sigma_21,MLEs_sigma_210,MLEs_sigma_22,MLEs_sigma_23,MLEs_sigma_24,MLEs_sigma_25,MLEs_sigma_26,MLEs_sigma_27,MLEs_sigma_28,MLEs_sigma_29,N,epsilon,scaled_windows_1,scaled_windows_10,scaled_windows_2,scaled_windows_3,scaled_windows_4,scaled_windows_5,scaled_windows_6,scaled_windows_7,scaled_windows_8,scaled_windows_9,windows_1,windows_10,windows_2,windows_3,windows_4,windows_5,windows_6,windows_7,windows_8,windows_9
0,0.7254189493108505,0.0069116200017878,1.3673185514860366,0.7958612907388607,1.0557781956073684,2.191047112994086,1.0700392884923795,0.1304421500313914,0.4902338478800034,-0.854090557123804,-0.104587561341277,-0.5447770910304417,-2.211989790371817,2.0065913999213305,-1.6671192804676032,-2.405875795227894,-0.3906417300514908,0.0875250813101605,-6.77380618349697,-1.0096742307418305,0.8416054167705904,-0.2609773229136203,3.898466899361082,-1.7488707358279336,-0.2826495631719481,2.6093582426456927,0.6684520071733024,-0.858443864590699,-1.7764583263060174,0.5345377639564552,0.7061313903696975,0.485154635480402,0.2312374096771511,0.2327680187195205,0.2985416929229251,0.094304814999557,0.8256296613244933,0.4825397734125903,0.0092963838877705,0.1147817245677743,0.0,-1.364570725962925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1
1,0.5065195630523283,0.0120643459359672,0.6033210797749984,1.4788511019039765,1.001995872643368,1.816899565976826,0.9464654711329052,0.692125759066645,2.2654117715666584,-0.312456933865258,0.0814091549076699,-0.5340566473909287,-0.7338697729072781,0.679388295485622,-1.9275551417822576,-1.241130043922677,-0.1861966516089681,-0.0430101832515261,-0.8751346023395381,-1.5701474792145005,0.6102981384687951,-0.2583810404010108,1.3478318531399496,-2.8064943273252543,0.163493399611083,0.6391910838281036,0.345091191856174,-0.9854839753934074,6.440016761406628,-0.6578178828506972,0.6507184862492722,0.3883302235559681,0.3481168422132775,0.4338201954603755,0.2818433805181918,0.1039806482489588,0.7224531461068638,0.6771642006550775,0.3808403412801526,0.377929978125239,0.0,0.3825693349497908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,2,2,2,2
2,0.5106343374328183,0.0124016419033658,0.8210853035081516,0.7332184523203821,0.4501733084515548,2.050120891613753,0.9469732613838112,0.8881816411430818,1.1929193107041796,0.1683213527011649,0.0303281256210655,-0.3839339381401581,-0.7297291072195033,0.596912094564342,-0.54403058541211,-1.8233022623631563,-0.0414035528700786,0.1615267605494392,-0.0891249318305486,-0.8848421974474108,0.6244870836832815,0.1388948832955072,1.2926806468550835,-0.3092839263848943,-0.8326342688377749,1.3970770185928587,0.3556190801750601,-1.0399979399886832,-1.1294276781434012,0.0219522631976085,0.5453969296403299,0.5564888550332091,0.3292675171905911,0.5788711169244746,0.6629458994559475,0.1794907027799353,0.7212490341071144,0.6219987501360456,0.325132035071853,0.3412028909393547,0.0,-1.7520202379700325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3
3,0.6179114307703139,0.4393594894863327,0.848297260256974,0.7167152704195364,0.9432184625756764,0.3374056187346446,0.66411075551646,0.9506071066912344,0.6292879443972165,0.0928283204339962,0.0405752042158279,-0.5463503433483515,-0.1026391304422203,0.6227493576257704,-1.021543333136545,0.9550810192554368,0.2279717836127749,0.2612194094507085,0.7551909355592784,-1.1451793489704525,0.0814737440442529,0.4914019997477129,1.2645673629321943,-0.2403796878856597,0.2972544508129626,0.0857671731564054,0.134130624555142,-0.8850161198122424,-0.6634062913364178,-0.5904296172887921,0.8063579636115321,0.6117755928349057,0.5659618339637283,0.5172776920836403,0.6423180688247202,0.5586891806953745,0.904979575552746,0.5619604457316435,0.5431893795636011,0.3387675745210678,-1.680632488522934,-1.680632488522934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,4,4,4,4,4,4
4,0.4265649609543283,0.5650271271973308,0.4937940101883682,0.6235403323116712,0.7651779322498786,0.7036595086877305,0.7750973026214633,0.9699035103650288,0.6350031137550556,-0.0210026216851251,0.1651743848933838,-0.4346895432788877,0.0922992981054872,0.6483517951103023,-0.7414085234309201,-0.0152850335524317,0.037542700674488,0.1911043568539121,0.7410408860089194,-1.1970090431263998,0.2251010846645827,0.4903923052150489,0.4400466908725068,-0.3636675780956072,-0.0425277913688357,0.5600685298501353,0.1476095362909201,-0.9978910702731484,-0.6467635220681558,-0.569155295664036,0.7816158007976555,0.5570742484949052,0.9162849005919158,0.6889125410982446,0.7093297601920335,0.5483809355358917,0.8188153996608585,0.5110846481392338,0.4753298881472439,0.3093064761153531,-1.219162654001987,0.2934065856686536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5,5,5,5,5,5,5
5,0.4546422720861955,0.585762005722932,0.4507242615736576,0.6854980201521352,1.0003008815378145,0.7072860072644357,0.7211966527572554,0.5072489020557525,0.8164994582673719,-0.2628777512566729,0.1078298540470232,-0.3677724293316012,0.2287003194542508,0.5929741946879404,-0.8490910746669527,-0.0067808237240657,-0.1012625147783945,0.5135173519816623,0.3985226683950593,-0.1785023754625324,0.2709669116026931,0.5664171626535517,0.4699598242753057,-0.3991224540922332,0.1820122613072799,0.540336175226868,0.4478579831270415,-0.3036427326585476,-0.5920176223528634,-0.5177034500742687,0.698840204524098,0.5019809489616349,0.8520077704440632,0.6168761560503642,0.8126315223457163,0.487487657196978,0.7878868544018229,1.2057605644356342,0.5101191644807854,0.9301309870349918,-0.7086304380196135,0.4054222754674043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,6,6,6,6,6,6,6,6,6
6,0.4492617832370256,0.5966604880653436,0.41079648451244,0.6902137829786943,0.9682949759826988,0.5907853751951195,0.816085699883741,0.7382235936554217,0.7276864740581497,0.2932631440064948,0.0964928221119489,-0.3722119028966614,0.2826336748009407,0.6078936674954637,-0.8313965715228293,0.0832244882723432,-0.1859952404033809,0.1161440762629014,0.3205111800573879,-0.3997952792591271,0.2842351274636192,0.5962640625347995,0.3592688181890013,-0.4260573038627728,0.1515210487449876,0.5196684407225715,0.472850202730061,0.0382454240954506,-0.3585466028953131,0.4828765844411867,0.6295372044910945,0.4524709613844546,0.7906035331217475,0.5556817458961791,0.7337878292697455,0.4781707230477419,0.7384586107212538,1.1963967902772514,0.4964699822389659,0.9673812942778938,-1.8009741048789871,-1.134208759236086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,7,7,7,7,7,7,7,7
7,0.4822217869697899,1.0451761494085698,0.4136701377127429,0.7802312321918462,0.968964104435023,0.5877106329967922,0.7567813190268822,0.7824781205956562,0.7136330734951079,0.6636981632519051,0.061395574050412,-0.435658034344016,0.3390639201958952,0.5183371418211913,-0.8189682932162894,0.0914942725062687,-0.2734379922236665,0.2099822652975462,0.2490239075962595,-0.2021215207503256,0.2359005475835261,0.8735724083142504,0.3487189228188174,-0.454870994747355,0.1579144006618698,0.5169752786318536,0.5768983423261198,-0.0528559517241132,-0.2601846036549217,0.4699915047866569,0.609052801316862,1.1637825637475687,0.735741492770418,0.5588890667709611,0.6696239634615601,0.4347868933396637,0.7229469492739095,1.1201554466486667,0.528707525785782,1.3234658734925513,-1.2768421683364275,0.3633124569748771,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8,8,8,8,8,8,8,8,8
8,0.474261075250885,1.0163447326649029,0.4136735843427723,0.6755508768479932,0.9263570375978248,0.5798773614614694,0.7832368412948175,0.8016830220603236,0.7011957569716506,0.716626132705761,0.0617851232509925,-0.4296244100503024,0.3390619966581127,0.4914390681854901,-0.7516420074189097,0.0582851624739937,-0.3083273756027292,0.2155486314803992,0.2584723374995119,-0.1644744901579986,0.2473553808710067,0.8687844321241868,0.3487273311999487,-0.3054191346310009,-0.0351781877962695,0.590222026042532,0.5690456447180184,-0.0280355613987294,-0.2590702376603034,0.5148591732339737,0.5592624331349776,1.0675066637640809,0.674429702262342,0.5715839502316421,0.8164194143063411,0.4071166496637572,0.6661835754893238,1.0390218143101069,0.4854663055459683,1.222252943872952,-1.0451582542873958,0.1290957426443748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,9,9,9,9,9,9,9,9
9,0.4736383829845768,1.0168442130895794,0.4209881044181041,0.7097335445895518,0.6956466293942785,0.3366096534487688,0.7911009928763185,0.7697539860412342,0.7011973048389577,0.6812909534636002,0.0629614387596648,-0.4133119960934457,0.3553178131507932,0.4270179658710568,-0.6090248286340144,0.1693126318082088,-0.1179864207554481,0.1764944502075171,0.2584567612692129,-0.233352063401847,0.246534383115888,0.8664092099920835,0.3488266135407159,-0.2701253647697155,-0.1259578538844724,0.648258800663655,0.2590956913189939,-0.0750569543716837,-0.2590583424328816,0.4249879423658227,0.5162617021870981,0.9856171414517576,0.6276235650838731,0.5557855296709743,0.8861524159571362,0.6057046894972345,0.8033064178315856,1.053000567731779,0.4481227446199251,1.162189130459196,0.3273692517749285,1.2987898433657388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,10,10,10,10,10,10,10,10
