Date,N,epsilon,windows_10,scaled_windows_10,MLEs_B_110,MLEs_B_210,MLEs_B_310,MLEs_sigma_210
0,0.0,-0.7541917489548642,1,1.0,0.006911620001787882,-0.5447770910304417,-0.26097732291362036,0.48515463548040205
1,0.0,1.429456304590109,2,1.0,0.012064345935967277,-0.5340566473909287,-0.25838104040101084,0.38833022355596813
2,0.0,0.6863778428355797,3,1.0,0.012401641903365823,-0.3839339381401581,0.13889488329550723,0.5564888550332091
3,-1.3930608536318894,-1.3930608536318894,4,1.0,0.4393594894863327,-0.5463503433483515,0.4914019997477129,0.6117755928349057
4,-0.0096283072596699,1.2441264610090306,5,1.0,0.5650271271973308,-0.4346895432788877,0.49039230521504895,0.5570742484949052
5,0.7588410922689254,0.7814371773389471,6,1.0,0.585762005722932,-0.36777242933160126,0.5664171626535517,0.5019809489616349
6,0.3740473947285879,-0.29488269670452943,7,1.0,0.5966604880653436,-0.37221190289666145,0.5962640625347995,0.45247096138445464
7,-0.370759182069051,-0.7148939651748727,8,1.0,1.0451761494085698,-0.43565803434401607,0.8735724083142504,1.1637825637475687
8,0.9739483759860454,1.2963027549782162,9,1.0,1.0163447326649027,-0.4296244100503024,0.8687844321241868,1.0675066637640809
9,1.528115874297395,0.6515294537833588,10,1.0,1.0168442130895794,-0.41331199609344577,0.8664092099920835,0.9856171414517576
10,0.5513296048830053,-0.8300065739238202,11,1.0,1.0269151221488866,-0.43464592284831255,0.5561381265640143,1.0005840622080364
11,0.48340462950200747,-0.03781265739553175,12,1.0,1.039885426207713,-0.46103270364120974,0.647210568220223,0.9571366378911959
12,1.0565768247100802,0.6007182033664694,13,1.0,0.8733938417653386,-0.3170086247975532,0.5257836151429343,1.1085528324262057
13,3.9696394847462018,3.0083730001632794,14,1.0,0.8896280059026319,-0.355484973629277,0.5322485910948463,1.0472634090407744
14,3.9484372520309394,0.360361901217237,15,1.0,0.8969690828245697,-0.33928316916994894,0.48506909873777,0.9961840557552135
15,3.320603669367564,-0.28325202055484444,16,1.0,0.876793192851811,-0.31115284711654007,0.45365783764225154,0.9626387153794135
16,3.275292744785146,0.20756867498656678,17,1.0,0.8753271642014512,-0.30003609269009324,0.4524900703168856,0.9183599668121112
17,4.884487698082798,1.8640338185621814,18,1.0,0.8621314511409863,-0.28138980060680346,0.4079085600768962,0.94757310236434
18,3.470310195784544,-0.9916876966315011,19,1.0,0.8587697360316688,-0.27733951480431174,0.40927781620826104,0.9048180985901872
19,2.885433905464494,-0.3194430751702752,20,1.0,0.8510136501421183,-0.2383317467563029,0.3590833577096207,0.8944124338026722
20,3.490924351296492,0.810485857439774,21,1.0,0.8435233027678153,-0.2244333980539943,0.36171814986425044,0.87084274357304
21,3.185446862397985,-0.019942494781348612,22,1.0,0.8490954328161339,-0.23203746936467995,0.36738489964754517,0.8378732606174338
22,3.309180442010101,0.3785146832843051,23,1.0,0.8511639229695752,-0.23068056414485733,0.36571628602128836,0.8061505024333098
23,2.2108759641307354,-0.8341501458153,24,1.0,0.8514838324361361,-0.24696700742112523,0.36600369189224424,0.8091340639227562
24,2.3630378452560654,0.3083032044943228,25,1.0,0.9150001116133674,-0.3021109513169111,0.3336902171824589,0.8770366757744784
25,1.9041713912532552,-0.27776323353861193,26,1.0,0.8003090736542192,-0.27317657225900044,0.43674259723561637,0.9853711388251974
26,2.436868225052076,0.6773748348302784,27,1.0,0.9332324341849219,-0.4789118431434183,0.5267638771375674,1.039066754542814
27,2.7051678416462344,0.46931434673427214,28,1.0,0.9667578130006587,-0.46435014047186357,0.4841711083515252,1.0143204880762942
28,2.548337589464814,0.07027613582014933,29,1.0,0.9808034958514918,-0.5260380406604018,0.5184572575873413,1.0019044362652811
29,1.4730635502910723,-0.8718606408942435,30,1.0,0.9968795876724699,-0.5343862936643033,0.5024415068569894,0.97701521555806
30,-0.09985356056857686,-1.4781458101416525,31,1.0,0.9864803195365677,-0.45903033510164715,0.4128337960043907,1.0290916514243114
31,2.483226402149186,2.5328805952633466,32,1.0,0.9674811631830416,-0.4376706481554382,0.41782404105267534,1.0358357613640221
32,4.528890124366186,2.2802542625346933,33,1.0,0.9841431907389183,-0.46368285943000853,0.43246260509749135,1.0168109227848676
33,3.611040915334999,-0.4887939250103744,34,1.0,1.0048322662931621,-0.45967928238775574,0.4152724536166892,1.010459822597387
34,1.729790000648209,-1.5902679884184434,35,1.0,1.0020387284637937,-0.46261552402800493,0.41828138080711785,0.9852918415634706
35,1.6810700026478425,0.0428596916674424,36,1.0,0.9896734128758754,-0.4351927418473273,0.4179414323370211,0.9967663848775234
36,0.7994930614489345,-0.7668782500939558,37,1.0,0.9935572538564578,-0.4404893286901478,0.421522056848534,0.9724006079663632
37,1.8706907199522174,1.1170383646152158,38,1.0,1.0100882192473244,-0.42400033509315377,0.40516849089407536,0.9904461614540192
38,2.7724869010149815,1.064059622417018,39,1.0,1.0031883549352956,-0.4211865598137896,0.40453801796914163,0.9690371735077188
39,3.1169959939858414,0.5950559452583463,40,1.0,1.0114926199883345,-0.463597055592899,0.41601663149824786,0.9990893701811969
40,2.3962287128695703,-0.45549945792735896,41,1.0,0.9954163944504585,-0.4501931068452273,0.4252056763062184,0.9816698819719378
41,3.3435855126964595,1.128084842163838,42,1.0,0.9860410156737567,-0.42145238637896365,0.39865555326644725,0.9670314118738613
42,3.723575166192415,0.6592159576970472,43,1.0,0.9921082821733485,-0.4148714959042629,0.393504253051719,0.9635797922247535
43,4.5846948478529725,1.176079056024139,44,1.0,0.9780638031955098,-0.4076884404525681,0.39113957257235815,0.9613392049513119
44,4.092901471888075,-0.10399549796848893,45,1.0,0.9648797472709917,-0.3830295812508444,0.38639307075605933,0.9543058483552554
45,2.1175052425428786,-1.6491887822968425,46,1.0,0.957287729361259,-0.3658974351957601,0.37084369818258206,0.9421668801792998
46,2.6665125528242437,0.6739818713382424,47,1.0,0.9559405288178329,-0.3557731396304995,0.3676098778118583,0.9343114886727036
47,2.8354831847082953,0.37351782002216677,48,1.0,0.9580166193312933,-0.35803650914571916,0.36926857788355777,0.9165525673414009
48,3.427281879076471,0.827506834885334,49,1.0,0.9580900039175525,-0.3579726623291652,0.3692225100701339,0.8989288973703116
49,2.3295349791400346,-0.8100386694041151,50,1.0,0.957025989489727,-0.35144557494143375,0.37077846876953263,0.8947020413769192
50,2.8004395233627726,0.6412303914988937,51,1.0,0.9887784376002257,-0.38433032422222707,0.39061844549058156,0.9527590301648764
51,2.5169326270047945,-0.06103111260386604,52,1.0,1.0466289925455425,-0.41685849242067197,0.3806834819931199,0.9761017504266505
52,2.9986272538962844,0.6820881445669413,53,1.0,1.0287947962536375,-0.42951799180448325,0.40205147423175236,0.969874253120999
53,3.1722627578793094,0.42032450786897774,54,1.0,1.0553569458803744,-0.4852739227085165,0.414934206461611,0.9787537819278704
54,2.906074846095885,-0.004117234804504359,55,1.0,1.0650607069616767,-0.48603756637182377,0.40023745597220667,0.9650494892214021
55,3.5886000954475965,0.9114238338435438,56,1.0,1.0514520235265454,-0.41208537990651806,0.3155098806545155,1.0467398973387605
56,5.6377653770166685,2.34724191507408,57,1.0,1.0512973433085657,-0.4119105132063533,0.31552402517438827,1.0292948996972437
57,6.918983788354701,1.780048199624264,58,1.0,1.051620051447477,-0.4227860719320177,0.3283444280957041,1.0154236507224736
58,5.40427778637696,-0.9150712778669139,59,1.0,1.024662558916568,-0.3917914381519131,0.3172574561727442,1.0480172659789009
59,3.552072878089268,-1.43734462130371,60,1.0,1.0135921454337131,-0.37336365873826133,0.31086628356546975,1.035145980348284
60,3.5310778632165443,0.2109796571888858,61,1.0,1.0112222656075183,-0.35299103585488006,0.290238821974935,1.0297162130502366
61,1.6675040515357407,-1.6000295320038114,62,1.0,1.0118492881310857,-0.3537932088588549,0.290264529437701,1.0142122296180636
62,1.4254448686202341,-0.14614028517499067,63,1.0,1.0085063884124659,-0.3571628280489974,0.29835190374849724,1.0368976265422
63,2.3678223876135513,1.0329361867078177,64,1.0,0.9796878081466723,-0.32555239481932136,0.2928525061912741,1.0447242164296093
64,0.6732566155237256,-1.4887130225300305,65,1.0,0.9800967456642738,-0.3265601769204031,0.293431935022346,1.029371118225112
65,0.7150806273049285,0.07121700077123758,66,1.0,0.9730893568826408,-0.33528811357131066,0.3111803955194901,1.03151956422731
66,0.36165080372820513,-0.31233255087760325,67,1.0,0.9869001513861065,-0.3538312646639723,0.31739961182222004,1.024481286917758
67,0.16035271111047417,-0.17901638467319697,68,1.0,1.0052689476477867,-0.3429923529564182,0.29170065536541206,1.0438030772803746
68,1.8286362334086963,1.673551479098938,69,1.0,1.0095092623547879,-0.3434829529911735,0.2892916512558023,1.0305017857135632
69,0.6202512918923258,-1.0307413533238878,70,1.0,1.0100962089178334,-0.33744486277786756,0.2850329032063749,1.0190930251133623
70,0.031824645003782015,-0.546291407144503,71,1.0,1.0108919427215801,-0.33770224314122527,0.28628003845003797,1.00639833137849
71,1.4638936510354268,1.4107625952790128,72,1.0,0.9982153683661084,-0.3319664740594241,0.27643358001723006,1.0889585397442192
72,2.3527326257516044,1.0287075804507593,73,1.0,1.0067447539125063,-0.3416423673106613,0.2765539519446808,1.075635161451885
73,3.3914569773241032,1.2590404311872672,74,1.0,1.0107681340464,-0.3075250036226807,0.2341079247349162,1.0814775601257465
74,3.327711135104597,0.2372335927450336,75,1.0,1.002799871114763,-0.30719302621309097,0.2419986766737438,1.0922532779970564
75,3.3259147206780217,0.27353280305312744,76,1.0,1.0055215186485715,-0.31088016853656514,0.24314190424271673,1.0787565853439247
76,3.4885640639486475,0.42804913421414087,77,1.0,1.005344260524661,-0.31154469296219417,0.24394225238011275,1.0653049763086135
77,0.64395118095509,-2.5622927351565195,78,1.0,1.00617511966134,-0.3132381193258571,0.24446843946628383,1.0526117337257566
78,0.11345566405796625,-0.5342451866478815,79,1.0,1.0114549779056359,-0.3106661576165585,0.23331630912058968,1.0834454374397693
79,-0.44053662727288484,-0.5839718773740918,80,1.0,1.015936900482829,-0.3143598057572377,0.23261444298616765,1.071052062382825
80,1.0612607827664151,1.450169678861881,81,1.0,1.0171799199951983,-0.3023841744602947,0.21992590446213686,1.0638413234037094
81,1.3906462729760611,0.43878237811843657,82,1.0,1.0195053617530168,-0.3022565993701692,0.21943090709047489,1.0577546595535836
82,0.909367917249793,-0.3484209699835971,83,1.0,1.0111473365606576,-0.29737010756596494,0.21926580961389175,1.0591335979749041
83,0.5465951144352166,-0.29635508164702196,84,1.0,0.9926659516815426,-0.2664534501228344,0.21068939209545054,1.0772488443687245
84,-1.2924046281975192,-1.8073403730914728,85,1.0,0.9817612588339628,-0.24809605000613055,0.20033851669708194,1.070500221718028
85,-1.5031942516900474,-0.35458971662913036,86,1.0,0.9826801145779532,-0.2522484848967477,0.20301303402239737,1.0590255089717429
86,-1.6881388872061873,-0.3278059655475216,87,1.0,0.9841953267600395,-0.2525860589731671,0.20079606185955112,1.0484398004392197
87,-2.287812382002813,-0.7405313947183687,88,1.0,0.9855302600403879,-0.2504651565070944,0.19569482328105484,1.042018907309244
88,-1.061864911027617,1.029079564163877,89,1.0,0.984187245785025,-0.24974628754759093,0.19663749937690006,1.0313532875581928
89,-2.4052612081036995,-1.4098232754867541,90,1.0,0.9831627029162018,-0.24695814891920584,0.19448256021321575,1.0213350172473983
90,-1.87607841880269,0.322153441420944,91,1.0,0.9830377800093765,-0.2466467025954297,0.19432876643524077,1.0105173258384237
91,-1.23320405847842,0.48993777963531426,92,1.0,0.9829597263613477,-0.24598425608794294,0.19350507541860623,1.0010841747838641
92,-0.898796720497957,0.25390032840168497,93,1.0,0.9822664877184983,-0.24528947051723077,0.19356064158303504,0.9912304705007973
93,-0.2656498398885223,0.5743600333324501,94,1.0,0.9829064281499421,-0.24669499866369246,0.1944402657622123,0.9817315800049857
94,-0.5252871772506065,-0.26488231356117264,95,1.0,0.9806735908584842,-0.24602732087636206,0.19571568971770437,0.9763389978517953
95,-0.31082419256502547,0.1735787325643852,96,1.0,0.9735943909503696,-0.23576670079335488,0.19251073426472085,0.9763683833702934
