Date,MLEs_B_11,MLEs_B_110,MLEs_B_12,MLEs_B_13,MLEs_B_14,MLEs_B_15,MLEs_B_16,MLEs_B_17,MLEs_B_18,MLEs_B_19,MLEs_B_21,MLEs_B_210,MLEs_B_22,MLEs_B_23,MLEs_B_24,MLEs_B_25,MLEs_B_26,MLEs_B_27,MLEs_B_28,MLEs_B_29,MLEs_B_31,MLEs_B_310,MLEs_B_32,MLEs_B_33,MLEs_B_34,MLEs_B_35,MLEs_B_36,MLEs_B_37,MLEs_B_38,MLEs_B_39,MLEs_sigma_21,MLEs_sigma_210,MLEs_sigma_22,MLEs_sigma_23,MLEs_sigma_24,MLEs_sigma_25,MLEs_sigma_26,MLEs_sigma_27,MLEs_sigma_28,MLEs_sigma_29,N,epsilon,scaled_windows_1,scaled_windows_10,scaled_windows_2,scaled_windows_3,scaled_windows_4,scaled_windows_5,scaled_windows_6,scaled_windows_7,scaled_windows_8,scaled_windows_9,windows_1,windows_10,windows_2,windows_3,windows_4,windows_5,windows_6,windows_7,windows_8,windows_9
0,0.4751486204303368,0.9352307645727204,1.121180512157001,-0.7603101097877443,1.0780960454595363,1.240207512935299,0.6541492638870446,2.2752042605997396,4.936692048284032,0.3756115718554048,-0.2173000603361108,-1.081076980140342,0.3636488490197206,-4.423748721699922,1.459557837292272,0.5507459083516955,-0.2136998213576539,-1.7153235512863785,-18.966418888834905,0.5138984872050593,0.5031697582053097,-1.838676213349395,-2.281334473136954,-9.827636033225184,-4.587665182075467,-1.2876642758782932,-1.7528305582991377,-2.1708780196248845,72.9523483687919,-0.5551186892186531,0.2265854256370157,0.2944494621956862,0.2260022048213175,0.0758607459526825,0.0002378013278165,0.0349780549238742,0.2515387569215658,0.1108078908229162,0.0038269722550747,1.038556552554775,0.0,-0.7156869723147612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1
1,0.9771268504850064,0.7372167394819177,0.5684899645232308,1.874500664555095,1.0110838473263308,1.5574015677396171,0.2141495936274426,1.126529243335268,1.3429540450170394,0.3368375096753471,-0.6725998080544289,-1.0123134582053923,1.0714145951023573,-1.234458718197205,1.5531232394085115,0.0216926305252487,0.0204822047310994,-0.0094810896851213,-0.2909278878672099,0.5643573773577327,1.1892784292091048,-1.84314155500322,-1.9075007579380432,2.9336860831666636,-4.497094023202871,-1.5996064778933534,-1.647561501592791,-0.8723115388054662,-0.0635969850278746,-0.522439492155708,0.4566051318879965,0.2531103082803874,0.2613853208495956,0.5742533068876623,0.0001912696058243,0.0356224927164813,0.2588742703171875,0.4319327348958602,0.0454627811862799,0.8377902490586354,0.0,-1.0104990951464878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,2,2,2,2
2,1.1868181265594824,0.4674860164305143,0.619312282059933,1.0006964901282174,0.6082030212197099,1.5567487701836222,0.2393356257898194,1.2329966252034616,1.4798530670780354,0.3049693348506103,-0.7001765183160662,0.8647176173630347,0.1298077456620912,-0.0358820105874581,0.416574828577894,0.021698877309672,-0.2217874813978102,-0.3583199535096657,-0.1966741394254786,0.3408450869172051,1.166744097628084,-2.9379583839995576,-0.4001771922785722,-0.6038431178498032,-1.5329577774305068,-1.5979394418762904,-1.478209627097728,-0.4159223024394457,-1.59612936453328,-0.0412875475385111,0.3918907408504337,1.0364365057854583,0.4122736761323684,0.8356954113637672,0.0006865523945497,0.0296854609822512,0.2269191035848971,0.3617735489234705,0.2234080586084189,1.0825533389592354,0.0,1.287110876122818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3
3,1.1850126779342194,1.5252445938690324,0.6150385210011147,0.7524692419935178,7.129483594059735,1.308535706760631,0.4866729207235808,1.2631441335450462,0.7537132317710671,0.351016107824286,-0.7301054169585821,-0.545367976168993,0.1294871579273666,0.3361944665681228,-1.0428420102030616,0.0971991692721095,-0.2636873342432833,-0.3707502210116751,0.7342392091442635,0.3485804918631072,1.171856386012845,-0.0620375857130914,-0.3996376885438852,-0.4837980085495669,-0.6394739527150912,-1.358919366968476,-0.3814813262606267,-0.4372431657212787,-1.6890243871852395,-0.0727496695600307,0.3361301859666779,1.4461178012929925,0.3539141004447271,0.8518747497966874,0.0775200300350491,0.0342152690996558,0.4769738829826879,0.3128625876407395,0.2113389488970193,0.934911047808216,-0.9520198015525008,-0.9520198015525008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,4,4,4,4,4,4
4,1.2252012982567873,1.5006451215066925,0.6373232413498879,0.7598212444326964,0.8622744025246737,1.517487534630974,0.7071905218920596,1.2785377792264243,0.854918121999905,0.3439824960757406,-0.8175574224572567,-0.5209349807576492,0.0240704664551056,0.3140878195882678,2.789936533352821,-2.155632908744892,-0.621791615488103,-0.3472174118103766,-0.205562156084116,0.3226612844174923,0.6159361985633517,-0.1656866144416888,-0.3959510290729614,-0.4558338751102443,-2.0133194731643163,0.7832654048776986,0.2997844888971439,-0.466113826562974,-0.6145090094520901,-0.071183035894981,0.3740501962043037,1.2976169947664973,0.513556576699148,0.7457776426115919,0.1746206356028714,0.2718097556411029,0.910145623430715,0.2767392794751049,0.2068315541209209,0.8218705201633638,-0.4523508953300337,0.404466926067217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5,5,5,5,5,5,5
5,1.2235439025009789,1.4455513464853271,0.7049136017456267,0.7725123991774733,1.1397832451011225,0.8654153995923386,1.219313917825492,1.265893048485618,0.6572197215890198,0.3178818119503948,-0.853150610458792,-0.4503324190181384,-0.0183647148169248,0.2965538767393302,-0.2852736785165692,-0.788654994466168,-1.0036972260878194,-0.3506929721709922,-0.2420045674106288,0.369108655496742,0.7455748658869652,-0.0696869115155103,-0.3994968131111383,-0.4550001797642693,-1.0772497343669107,-0.1884940241855349,0.5903692887203617,-0.4689342972361869,-0.8938474636264323,0.0839283808624931,0.3420083321268566,1.2453195972160074,0.4606802903295703,0.6641144228609559,0.162777637595512,0.2703926883552192,1.0201152454290452,0.2472714447860475,0.2595851496550634,0.8423027151329053,-0.0080599435479625,0.4085760602645927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,6,6,6,6,6,6,6,6,6
6,0.9724843535171208,1.497720540609925,0.7165631882766518,0.7667210056075571,1.115677809607427,0.8592724128218718,1.6338801125364728,1.251937029355046,0.5008048362318391,0.5071113649564469,-0.4731295706110886,-0.5956003018759007,0.0602732649044998,0.2387717424552352,-0.4291950578161335,-0.7696962132148458,-0.7108614769823509,-0.3003332545463277,-0.0380992130967127,0.3287373739750133,0.4201255191416901,0.0916672374669217,-0.453753869383309,-0.3721568684028322,0.6900918593550553,-0.2249648285956886,0.4940031342537266,-0.4635713331785774,-0.9072679692692116,0.1291408930924332,0.4205607496641693,1.166518716326004,0.4207774412280882,0.6238992190961027,0.1490632803940066,0.2434824799606068,1.370419278294685,0.2304790957614726,0.2469203486167336,0.9344493071043825,-0.3845613675630894,-0.3632637114010977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,7,7,7,7,7,7,7,7
7,1.07500693645706,1.4692751828431077,0.7307010181052257,0.7522789148349531,0.6574860145931061,0.901033745794661,1.532696890417682,1.3022506419905175,0.54436202032918,0.4659262082936918,-0.7432955006873923,-0.5456778393252191,0.0598287211510728,0.2776286905005006,0.3519669534777582,-0.6961019191718201,-0.7131703475217738,-0.4099988270398557,-0.231614838144311,0.3072961675003118,0.5049628747572403,0.0454873467402656,-0.4274708076263745,-0.3929017379902305,-0.3629966655152883,-0.2564284419190109,0.3624319783058964,-0.3150779378753205,-0.6744590495894253,0.1501779654102448,0.4701924987599637,1.0797683716732591,0.3839441308010039,0.7652152365744854,0.2862630111712423,0.2364362147681667,1.2819784522937498,0.2324852385874079,0.2368969899759163,0.8555898892184245,-1.8580806603999092,-1.5073713212043487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8,8,8,8,8,8,8,8,8
8,0.945013911085692,1.4891772685222,0.6982751383807344,1.1410739181283458,-0.1343414974113483,1.1267035955486466,1.5374056398379212,1.48088353258975,0.7083493768069811,0.4535032203902197,-0.6764980751424332,-0.5871234781566399,0.143544166861698,-0.0452417822283198,1.47705413598851,-0.7254338008354353,-0.7602140418003656,-0.8592971798138684,-0.1939696724600626,0.362416520698363,0.6040134922698878,0.0443382510748478,-0.3419820728728107,-0.3432978621281458,-0.3609376652990936,0.1126077567618023,0.3215209961017947,0.1458533272223255,-0.4898490124879787,0.1766060034325477,0.4637672018464503,1.018916287524718,0.4006047018659377,1.0802661027281129,0.4716778485861726,0.3673092119413781,1.18578731180881,0.4661850175411611,0.3198791214910579,0.7949194311915315,-2.0787258020056885,-0.4025269945346598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,9,9,9,9,9,9,9,9
9,0.757577721726838,1.4454278647511944,0.7164941846105386,0.9472036819911892,0.4976227714856204,0.9759985643025196,1.5440838216374244,0.9299554241443522,0.8811986560152701,0.4391576926128036,-0.2113159341666532,-0.5539871798540248,0.1198623910651096,-0.0572217382783501,0.4106807973356594,-0.5617316115414266,-0.7451727212198497,0.0633999605563049,-0.3086870574425268,0.3748777225997343,0.2511065538603408,0.0869810541664537,-0.3099677896873165,-0.2303386663046049,0.5115271028370623,-0.0873953667107521,0.1704778203782083,-0.4258359678233513,-0.2460648117700034,0.1264067289890551,0.5503842625089512,1.0020822458209262,0.37168904262137,1.0860403990732466,0.6714006615193442,0.3512750284351738,1.135730276100019,0.5571153259078986,0.352568292211754,0.7415106882064296,-1.5371786045830216,0.3561010375017281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,10,10,10,10,10,10,10,10
