Date,N,epsilon,windows_10,scaled_windows_10,MLEs_B_110,MLEs_B_210,MLEs_B_310,MLEs_sigma_210
0,0.0,-0.9397447651384845,1,1.0,0.9352307645727203,-1.081076980140342,-1.838676213349395,0.29444946219568624
1,0.0,0.5029508937629248,2,1.0,0.7372167394819177,-1.0123134582053923,-1.8431415550032202,0.25311030828038744
2,0.0,-0.6154612494564143,3,1.0,0.4674860164305143,0.8647176173630347,-2.9379583839995576,1.0364365057854585
3,-1.0852639535075073,-1.0852639535075073,4,1.0,1.5252445938690324,-0.545367976168993,-0.062037585713091474,1.4461178012929923
4,-1.0149722370020384,-0.03823467884528178,5,1.0,1.5006451215066925,-0.5209349807576492,-0.1656866144416888,1.2976169947664973
5,0.22402061628156333,1.148348269118473,6,1.0,1.4455513464853273,-0.4503324190181384,-0.06968691151551032,1.2453195972160074
6,3.302223109669287,3.1216069169209755,7,1.0,1.497720540609925,-0.5956003018759007,0.09166723746692172,1.166518716326004
7,3.9615363791562213,0.9974450966610676,8,1.0,1.4692751828431077,-0.5456778393252191,0.045487346740265694,1.0797683716732591
8,4.911218657234177,1.3105734787340695,9,1.0,1.4891772685222,-0.5871234781566399,0.04433825107484787,1.018916287524718
9,5.535731171381197,1.0429967849821824,10,1.0,1.4454278647511944,-0.5539871798540248,0.08698105416645374,1.0020822458209262
10,4.754720379838492,-0.31616522476848974,11,1.0,1.3866831195223044,-0.41423072488406437,-0.02104494249659569,0.9767174198484389
11,4.695473129299246,0.3117552891584492,12,1.0,1.2939371489441096,-0.25619351355615144,-0.055785720883781004,1.0895482564376315
12,5.196603662614797,0.8677733307332783,13,1.0,1.155301643252292,-0.007006880053245667,-0.19640719982244095,1.1210911500392742
13,4.890300426201347,0.11885519475665147,14,1.0,1.1394636056531604,0.026691670880072068,-0.21166596658882295,1.0572673400691381
14,3.906952698146249,-0.5932384533541039,15,1.0,1.0982246255742898,0.187886062197606,-0.36728370347313155,1.1712185060216447
15,4.184471567036221,0.5673450978164356,16,1.0,1.043689311313549,0.2548701450415076,-0.37489432160168956,1.123844774773271
16,3.3828859143564105,-0.47111102721966436,17,1.0,1.0607091264779454,0.1689053855771495,-0.29833590249230296,1.0889421824821353
17,4.618535664065536,1.4930240984929424,18,1.0,1.0666763761809885,0.15643186090159705,-0.29562770326240007,1.0775058434974352
18,3.4058363523109585,-0.8265193201619508,19,1.0,1.0715874965032226,0.15177100953962297,-0.2961805521447556,1.029326063585682
19,3.454629626285517,0.3093626934214352,20,1.0,1.0681174954596373,0.13563981004748546,-0.275687099206922,0.9967885982896022
20,1.123691762460921,-2.0657186213598093,21,1.0,1.0721012147303248,0.1262717576468362,-0.27025907837909646,0.9611247964859198
21,1.2299943946095946,0.15006714860880108,22,1.0,1.074375442928933,0.1253761186009546,-0.2716511326522553,0.9243326787262705
22,1.0287374642079201,-0.12404070482817922,23,1.0,1.0796769508546724,0.12599405307105574,-0.2771006911408432,0.8995768189880717
23,0.03932886164478655,-0.9100717177130467,24,1.0,1.0758659396898955,0.128396746573685,-0.2761408202568797,0.8672023188604313
24,-0.2958880750270768,-0.3538713690955599,25,1.0,1.085349639504152,0.0670381344054135,-0.23013796558493801,0.9833707290551039
25,-0.0748862078835627,0.1807323963822794,26,1.0,1.092953848737733,0.05853364030016447,-0.22924224057672532,0.9498708825383936
26,0.24569167628586175,0.3156548555148911,27,1.0,1.0909504020985374,-0.003609487620186643,-0.16472108739437522,0.9478052428477752
27,0.5377140650229332,0.32029929919476396,28,1.0,1.0918601211825836,-0.005290420065539531,-0.16406966948440768,0.9172974044595896
