Date,N,epsilon,windows_5,scaled_windows_5,MLEs_B_15,MLEs_B_25,MLEs_B_35,MLEs_sigma_25
0,0.0,-2.0675545657920287,1,1.0,1.240207512935299,0.5507459083516955,-1.2876642758782932,0.03497805492387424
1,0.0,0.8977415890226221,2,1.0,1.5574015677396171,0.021692630525248762,-1.5996064778933534,0.03562249271648134
2,0.0,1.4495733997780285,3,1.0,1.5567487701836222,0.021698877309672095,-1.5979394418762904,0.029685460982251204
3,-0.37404841891859,-0.37404841891859,4,1.0,1.308535706760631,0.09719916927210956,-1.358919366968476,0.034215269099655825
4,-0.46389765934440497,-0.12725408231767402,5,1.0,1.517487534630974,-2.155632908744892,0.7832654048776986,0.2718097556411029
5,-0.7813349985968652,-0.3600866209977149,6,1.0,0.8654153995923386,-0.788654994466168,-0.18849402418553493,0.2703926883552192
6,-0.7428584866667567,-0.03127752714694809,7,1.0,0.8592724128218718,-0.7696962132148458,-0.22496482859568864,0.2434824799606068
7,-0.33968405639971305,0.34134090817978063,8,1.0,0.901033745794661,-0.6961019191718201,-0.25642844191901093,0.23643621476816679
8,0.7033742301491956,1.0243318157615737,9,1.0,1.1267035955486466,-0.7254338008354353,0.11260775676180236,0.3673092119413781
9,1.7741839540947768,1.1519725723911654,10,1.0,0.9759985643025197,-0.5617316115414266,-0.08739536671075211,0.3512750284351738
10,0.18451079898011447,-1.4158916614426795,11,1.0,0.8542627656911879,-0.3352870985875084,-0.09641662689720552,0.4579941026425409
11,-1.225595148729241,-1.4164304496537836,12,1.0,0.8759259688439741,-0.363758150929295,-0.0706995301104646,0.4279618751838334
12,-1.6122706167256544,-0.5288219304000867,13,1.0,0.8781106890343833,-0.4167467726670473,-0.043721754448523026,0.4149698522827105
13,-0.9807217977487994,0.4807326008017807,14,1.0,0.9126295832069894,-0.45684372172977,-0.06030270479319321,0.40543414146413265
14,-1.1404503296159731,-0.22942205398750462,15,1.0,0.7874359987870138,-0.47778387936878775,0.058528784283529485,0.5349492296643272
15,-0.15605409485658261,0.896281125942538,16,1.0,0.8731194825376182,-0.5964557903460646,0.12050334428155232,0.5162174979657257
16,-0.9044828158664068,-0.7428224092218347,17,1.0,0.869943149898395,-0.6027245324317041,0.12872065199654997,0.4905905371493926
17,-0.7220971083541968,0.10490247017029487,18,1.0,0.8620122976743707,-0.5540543591163125,0.1259586806685137,0.475279604173189
18,0.19822209027597082,0.8587148569019778,19,1.0,0.8884492310879566,-0.5863043886177085,0.2132212511124289,0.4732550707132455
19,1.043430436821696,0.8812963548155283,20,1.0,0.8923963908581781,-0.5903059711465907,0.21746326447198172,0.45277896402733114
20,-0.8630132112761887,-1.7968618542349328,21,1.0,0.8697291036559595,-0.617838542648578,0.22195531129927146,0.4775425878031192
21,-1.6924269955974531,-0.9281316307198598,22,1.0,0.8441191813639595,-0.5907694017484614,0.2175434903650511,0.4616525570861991
22,-0.7661084719071094,0.7552716518751434,23,1.0,0.8462874799926413,-0.6013044297894028,0.22727948931782083,0.44432366906739246
23,-0.20727441405384872,0.5077776127312862,24,1.0,0.8492603034925882,-0.6053265175857647,0.22526999963751318,0.4282977899763721
24,-0.6910554646736076,-0.4799231373500981,25,1.0,0.8489168535808707,-0.6075784954415943,0.22876024609981516,0.4131824070235774
25,-0.7064418519070306,-0.07475810484117418,26,1.0,0.8713235907741803,-0.6588910454271603,0.24537508702064817,0.4611706537614627
26,0.7729117700574004,1.4176927355610025,27,1.0,0.7946213964538597,-0.6090575756289534,0.23158003637535418,0.46354127859833777
27,0.6534482682696039,-0.028197351616249994,28,1.0,0.7568410887463397,-0.5034394471157976,0.17075480016640102,0.4693161646988015
28,-0.17109090828286755,-0.7598590489070147,29,1.0,0.7384976456068247,-0.4832733945260757,0.12821725420789915,0.46077568244659883
29,-0.4722359270297047,-0.3325177099583939,30,1.0,0.7501698062064656,-0.494170513224359,0.11930811447060151,0.4622509995714266
30,-0.07767160274862273,0.34251715797824417,31,1.0,0.7215807923332539,-0.4876276259733474,0.12277806366633225,0.46032760754770524
31,1.5351490098418565,1.6114867206687427,32,1.0,0.6775221170890576,-0.40599914553639727,0.08952264496281302,0.48043391477164354
32,0.4835128779227562,-0.8926221556371314,33,1.0,0.657700605773174,-0.38383723456153085,0.06479819271325671,0.4698535167628568
33,0.310562717451787,-0.13917364674962593,34,1.0,0.6464325118387216,-0.3466713030702727,0.04437319973405335,0.47745551223890526
34,-0.2206627534459829,-0.5203558180302373,35,1.0,0.64767556361653,-0.34758751603468346,0.04549588230924986,0.46490800033358576
35,-0.969968628914121,-0.7793129067664818,36,1.0,0.6463912755549063,-0.3600404653167641,0.04829449531358253,0.4567802654511453
36,0.062252036345117445,0.9343248027277683,37,1.0,0.6602537669219337,-0.37234452814266056,0.03521617870059612,0.4553182040982754
37,-0.6260349436004183,-0.670155462487423,38,1.0,0.7194199872080544,-0.36078063058949505,-0.0009190306983657706,0.5174447675782017
38,-0.2013120243298458,0.37119659083622064,39,1.0,0.8127779061081674,-0.3809237284591231,0.025332901931946605,0.532054828528088
39,-0.7659563971287783,-0.5791377461593641,40,1.0,0.8740556949596934,-0.3278511265077464,0.04345454811128475,0.5559376244999371
40,-0.4793713186853712,0.21826290840983187,41,1.0,0.8821531190260369,-0.32792403840606904,0.0538646272977018,0.5438070761571328
41,0.3360380876982722,0.7771449587296926,42,1.0,0.8847252074839014,-0.3198120226613911,0.06817693923024797,0.5335922762096781
