,window
0,1.1838447124570532
1,-1.3993648708020543
2,0.0692248736080625
3,0.2088197315585956
4,-0.1213878713612514
5,-0.1287900550810694
6,-0.17786893948821
7,-0.1776546169877439
8,-0.0021020111979002
9,0.0889302956355353
10,0.0667078531828519
11,0.080196255175782
12,0.0454740610485897
13,0.0599671182859148
14,-0.0355338497971184
15,-0.1352524773290055
16,-0.2128918418190653
17,-0.2453000709879301
18,-0.3021863280467265
19,-0.3675894352807288
20,-0.2866477629634401
21,-0.2919764517800076
22,-0.2701746771982681
23,-0.2568730079238994
24,-0.1882158129625313
25,-0.1790992515045822
26,-0.1599419377528995
27,-0.1633047093734455
28,-0.1925718611964925
29,-0.1494787798110572
30,-0.2231427628227348
31,-0.2469477323918208
32,-0.2589341330938894
33,-0.2225518727473912
34,-0.2133945747643254
35,-0.2248786855196012
36,-0.1454559130175707
37,-0.1463068231313085
38,-0.1775262985442287
39,-0.1819609349600856
40,-0.182186700832539
41,-0.1946223000138783
42,-0.2029471246017363
43,-0.1589840301540837
44,-0.1677012198869255
45,-0.1707594300466563
46,-0.1338323992409082
47,-0.1344786339141354
48,-0.1988647924191497
49,-0.2022758393418837
50,-0.1941546686541072
51,-0.0635944339448116
52,-0.021606921668352
53,-0.0147134555695145
54,-0.0278453427411486
55,0.0092416823495551
56,0.0710849382549054
57,0.0652470217007839
58,0.0689578587498102
59,0.0719623995246879
60,0.066430929913898
61,0.0696988098828398
62,0.0871570712439497
63,0.1228765367993391
64,0.1267780704420265
65,0.121820235675669
66,0.1236403871514814
67,0.1245696209490915
68,0.1252110690371217
69,0.1207871263942882
70,0.1376755616398361
71,0.1268897231904234
72,0.1436586203375269
73,0.1466961036291448
74,0.1431886789271305
75,0.1431240870170327
76,0.1383711129533091
77,0.1345541424465917
78,0.1420862391049416
79,0.1232599000245009
80,0.1219705301302183
81,0.1229321691320708
82,0.1377598992340281
83,0.1377076029405884
84,0.082700763667661
85,0.0911259518163599
86,0.0956318824748902
87,0.0967331049578152
88,0.0961140542177203
89,0.0943581571224919
90,0.097064059988323
91,0.0987128539000192
92,0.1036362166353747
93,0.1032146943204026
94,0.101199658589393
95,0.0983532914934789
96,0.0986481535646434
97,0.0978676911425349
98,0.1011237608588786
99,0.1012864245746587
100,0.0986525461285863
101,0.0940003244451655
102,0.0894194882967662
103,0.1054092047786589
104,0.1226850590362756
105,0.1228948844430093
106,0.1186702029293247
107,0.1176410488748407
108,0.1201531439839054
109,0.1202106855518739
