k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,200,59,100,112.80987493396243,115.21938346984228,80.53069394151558,2.1322766830502666,1.3293793251414088,0.25
2,200,282,82,141,147.0867284064941,149.77735685826536,109.61666702876488,2.0863867308925164,1.2943525056288687,0.25
3,282,400,118,200,194.6265160582297,196.39716715913272,151.3821248927119,1.981795689309801,1.255282277186673,0.25
4,400,565,165,283,257.45667311084895,260.30983822579924,209.42855625497276,2.0234920499208524,1.2081386527894244,0.25
5,565,800,235,400,338.24033063274044,340.80244896261195,291.4120678130068,1.9616399881845714,1.147433458830053,0.25
6,800,1131,331,566,410.73070499023225,412.47321250322653,406.8330470451284,2.036564465036053,1.0,0.25
