k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std
1,141,200,59,100,93.03213754394459,97.80095243260712,84.26266293617435,4.75568572919063
2,200,282,82,141,121.3463152458364,124.19920528818503,112.95825150435587,4.362876852527027
3,282,400,118,200,163.98218209692536,167.5844845106455,155.47292532221385,4.605035801526294
4,400,565,165,283,221.73833839247754,226.31343597377966,213.40948484185594,4.684099756132272
5,565,800,235,400,305.32287985953724,309.8767733944437,296.28474110260925,4.999470341140163
6,800,1131,331,566,421.2250628520786,426.89734912521357,411.70099685788153,4.9221169649834415
