Date,N,epsilon,windows_4,scaled_windows_4,MLEs_B_14,MLEs_B_24,MLEs_B_34,MLEs_sigma_24
0,0.0,1.3220097306873286,1,1.0,1.2056884637931693,-1.585308709688035,5.5093658706227515,0.041291635818364765
1,0.0,-0.3368118939579889,2,1.0,-0.22527089109643775,0.551738090969144,2.4312485103196884,0.11174226362118522
2,0.0,-1.194347303700746,3,1.0,-0.08066435521667406,1.0787453853944107,1.9558588403327124,0.11020790546127007
3,-0.4064068691268137,-0.4064068691268137,4,1.0,-0.11594888903482095,1.1046163128555782,2.2212330003348693,0.09811935471985511
4,-0.4900000737124999,-0.12423389149836754,5,1.0,0.05432319097207962,1.0886087787616272,2.0729215360812985,0.09459426601614228
5,0.05349291317081967,0.4985570482033377,6,1.0,0.395851355952179,0.03946670507780772,1.8099041818861448,0.46048038464484886
6,-1.3977469614449625,-1.4369265138703071,7,1.0,0.8870314386629677,0.07346885795644137,-0.06053307785585197,1.0853867594298423
7,-0.7413692445301483,0.5209680923757347,8,1.0,0.8797219372315987,0.07819145816082561,-0.05083120394350095,0.9869379761236415
8,-1.4486076893861684,-0.7679328288262933,9,1.0,0.8801604372516737,0.11338219382451886,-0.11081868907523205,0.9112910362723854
9,-3.819249691561871,-2.4941116090545683,10,1.0,0.9021463245186534,0.09109599244943187,-0.133086637126867,0.865446178344939
10,-3.4325005978854555,0.02672389385939185,11,1.0,0.8547976344480809,0.10000403850324456,-0.07005293598684197,0.8579678517133452
11,-3.2952543611791505,-0.1533252492727599,12,1.0,0.7445260867009955,0.2848921891862764,-0.18680507164311866,0.9772960203609663
12,-1.9035555661159966,1.1346908618397125,13,1.0,0.9564020012770532,0.002496479017488545,-0.11886843791520234,1.0865487167129566
13,-1.7928002922614554,-0.012322733166412504,14,1.0,0.9937774900540932,0.021641754299254246,-0.17263682346824266,1.031345249875944
14,-1.2047767568760681,0.4607316054321931,15,1.0,0.9654768734836905,-0.02342771869057673,-0.12406132739698757,1.0066268217930614
15,-0.46257460062758515,0.6586880391446507,16,1.0,1.0085340581666684,-0.12064521099621067,-0.12003608244779138,1.0372832737104012
16,-1.213075538127765,-0.7667826270715631,17,1.0,0.8991226228844859,-0.06749394581473002,-0.01596174850466247,1.1247058704490218
17,0.7256292819581229,1.834070779848148,18,1.0,0.9746489673987613,-0.21557353926307127,0.08684864025090905,1.1187409593123194
18,2.1806517965064804,1.5443419441317234,19,1.0,1.0213880930060006,-0.19771112828733797,0.04110189890036682,1.1137720846975065
19,2.7050129964286302,0.7473008421344944,20,1.0,1.028825965211588,-0.19537514041393347,0.03773480721657413,1.0669163482737125
20,1.7713601883904833,-0.6922143191799305,21,1.0,1.0479595488645388,-0.10325549575302222,0.03003000472958426,1.3235168762227343
21,0.023606723573448063,-1.619474093907338,22,1.0,1.0338025861454596,-0.08974111673843041,0.023659006201482233,1.2714440515052774
22,1.3513923085117328,1.2853825254474383,23,1.0,1.032530658057904,-0.057846721024941775,0.005885421596387765,1.2268052875545095
23,2.3350661916812703,1.1008634449010715,24,1.0,1.0454412237972284,-0.07243125159970457,0.07357195448412283,1.2446534390927775
24,3.0595684927855133,0.944258929951518,25,1.0,1.023263947919366,-0.05337885678617006,0.05601702013991797,1.210429183338094
25,2.9210556828207244,0.13057945431183224,26,1.0,1.0245729867110394,-0.05848616201500662,0.05677018820978675,1.1689854187924449
26,5.3482276335279515,2.665331172144631,27,1.0,1.0286746507611582,-0.043943074001851476,-0.007588440995830864,1.1889549825571781
27,5.217215453521982,0.3440043415907635,28,1.0,1.059997997176251,-0.07320267382499489,-0.031871988615327085,1.173396491281719
28,5.37633639138942,0.5981496500561484,29,1.0,1.0673712750744344,-0.06912867895349034,-0.05008692128291363,1.1397303615408658
29,6.7777644770030285,1.8334072938820511,30,1.0,1.0589315824506975,-0.08225628353989267,-0.016610241127659214,1.124582629325557
30,6.470782387334352,0.2648588395825117,31,1.0,1.069857307466572,-0.10182594400539897,-0.0015163801085583684,1.099900304846386
31,6.456469551233449,0.5112243939486072,32,1.0,1.0547724855761442,-0.104493006912032,0.005050614098314207,1.1011845283700403
32,5.12461725565552,-0.8186908090979585,33,1.0,1.0722515868702347,-0.13216851887529954,0.009178533931200805,1.0812729840137685
33,4.0002573759228675,-0.7411706735527779,34,1.0,1.0834606139508431,-0.12483377325653011,-0.01600487540567795,1.0652329327292267
34,3.3139470988887707,-0.4020954075106998,35,1.0,1.0994736003243872,-0.12440923843121046,-0.0377892741137869,1.0581479686809787
35,3.8507440380183975,0.7769429027027198,36,1.0,1.1021433343137677,-0.1248890765859654,-0.040337360166176756,1.031360880798381
