Date,MLEs_B_11,MLEs_B_110,MLEs_B_12,MLEs_B_13,MLEs_B_14,MLEs_B_15,MLEs_B_16,MLEs_B_17,MLEs_B_18,MLEs_B_19,MLEs_B_21,MLEs_B_210,MLEs_B_22,MLEs_B_23,MLEs_B_24,MLEs_B_25,MLEs_B_26,MLEs_B_27,MLEs_B_28,MLEs_B_29,MLEs_B_31,MLEs_B_310,MLEs_B_32,MLEs_B_33,MLEs_B_34,MLEs_B_35,MLEs_B_36,MLEs_B_37,MLEs_B_38,MLEs_B_39,MLEs_sigma_21,MLEs_sigma_210,MLEs_sigma_22,MLEs_sigma_23,MLEs_sigma_24,MLEs_sigma_25,MLEs_sigma_26,MLEs_sigma_27,MLEs_sigma_28,MLEs_sigma_29,N,epsilon,scaled_windows_1,scaled_windows_10,scaled_windows_2,scaled_windows_3,scaled_windows_4,scaled_windows_5,scaled_windows_6,scaled_windows_7,scaled_windows_8,scaled_windows_9,windows_1,windows_10,windows_2,windows_3,windows_4,windows_5,windows_6,windows_7,windows_8,windows_9
0,1.0296470737518717,0.9650097387997616,0.7076181497585702,0.9950537046861913,1.2056884637931693,0.4535566049610348,2.929920153295728,0.964391975556822,-4.322053738938776,1.0536768433621675,0.8009875177191348,-1.5434479035885238,-0.354711373262326,-0.6960768131632695,-1.585308709688035,-0.1999668289273098,-8.823179908786482,-0.2925524937247182,-28.25609673722764,-0.1031921125485463,-2.0055694320871824,0.7254635201118697,1.1368046351572445,-0.2514209372155372,5.509365870622752,-2.131895215115066,26.894597211998715,-0.0523193444705508,-172.53211413643467,0.0803923392151873,0.3414180449056948,0.1025658555396327,0.3267539532596726,0.6443159889887671,0.0412916358183647,0.1741947138418194,0.0679064896159825,0.9935702912743388,0.0198267288401132,1.145272997055696,0.0,-0.3984538946353726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1
1,1.103907846680917,0.8938454517984332,0.0727047127859348,0.9076373047317128,-0.2252708910964377,0.6569269135239688,0.179156585904521,0.9873173786619904,1.6286704603673392,1.0275634009712464,0.6948667442750723,-1.3233692727529986,0.2926737114827034,-0.8511113443095338,0.551738090969144,-0.2731311121475186,0.1387673502754157,-0.1864702863822982,-1.5621791869751047,-0.0421576040084284,-2.072638740399972,0.3748558747355859,0.37619847980074,0.274521628187136,2.4312485103196884,-2.1431464344145925,-0.3196019445591407,-0.5918184585049331,-0.0266712797484988,-0.2998815467197147,0.2756524128676669,0.0858739814278489,0.4994063181805998,0.6735924351404616,0.1117422636211852,0.1466991802037829,0.5150757738666826,1.1028912330051006,0.5929668980360538,1.1218719179927557,0.0,2.4576302585262897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,2,2,2,2
2,0.6599035216653393,0.7984772813088795,0.0897109066237972,0.5890226014483442,-0.080664355216674,0.6939030419538462,-0.0471381926137188,0.4054983838666305,1.633085114860084,1.0726546856192165,-0.1303040297105095,-0.7874461810879836,0.247076332479362,-0.2080108051959366,1.078745385394411,0.187594217390696,0.2729094873484117,0.2321722153646104,-1.928887087331301,-0.0911317656798979,0.2980993195720701,0.4446462565238617,0.3868747518659955,-0.2645343275455941,1.9558588403327124,-2.2878384707022064,-0.3811878374090041,-0.4506816791887085,1.4639105102999326,-0.3289514908622568,0.944391118865465,0.1643463242574254,0.4170690657048719,0.7453739326312001,0.11020790546127,0.1578437239694493,0.6265147477417804,1.4826471691905196,0.7706739305068542,0.94198280647691,0.0,0.1959164269502191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3,3
3,0.5042384259447967,0.5182397266527786,0.0589928447301823,0.5384507341865366,-0.1159488890348209,0.9583670787073232,0.5261628552715265,0.7876175335261313,1.1072586884188975,1.0782527123049912,0.0857588254065375,-0.5684851008937146,0.1054723406311364,-0.1636907741527599,1.1046163128555782,0.0503721556231574,-0.1244419484628318,-0.7040218780447601,-0.7787240192073952,-0.0750403276262424,0.1535995554065991,-0.0075324196194552,0.7179793490941383,-0.3269535556645563,2.2212330003348693,-1.0670842699299423,-0.2613309509750051,0.2557712739963899,0.1849041567443792,-0.3605883672014991,0.8526131098597803,0.1502996649398253,0.4023920973121368,0.6439344419507255,0.0981193547198551,0.3153829453448353,0.9599582614841812,1.7202594176951762,0.8797597660699124,0.8087198766391355,-1.1686197754713803,-1.1686197754713803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,4,4,4,4,4,4
4,0.5229949021875756,0.583713629414988,0.4967567385438972,0.5757881208429181,0.0543231909720796,0.9080527570856196,0.7720738166443076,0.9717588892421668,1.1039617312514776,1.0119616126179176,-0.0147814183548149,-0.6280385149883481,0.1362947234299323,-0.2317202202255434,1.0886087787616272,0.1074703142098429,0.099134124254246,-0.6890354278918529,-0.8286959799661556,-0.0937919447671721,0.2166563370483124,0.0116525100487016,0.4633859211481227,-0.309110432224096,2.0729215360812985,-0.9786107287003782,-0.4412737709070288,0.066923336962555,0.2107003847021611,-0.279696048511316,0.760036887571384,0.1648115968248372,0.5387810899791692,0.5776075554792948,0.0945942660161422,0.2897491368730542,0.917386375844295,1.677910963734818,0.8637787427907581,0.7719490866474491,-1.2032659321426762,-0.1515081342184339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5,5,5,5,5,5,5
5,0.5363044740777666,0.7751134930241359,0.6661536625254878,0.6031543983766449,0.395851355952179,0.8095575719854314,0.793437985196925,1.0767782825244354,1.1212427899128663,1.1619828544861013,-0.0089443990008653,-0.6866911010012972,0.3231269295104753,-0.2020677080954926,0.0394667050778077,-0.1797824813241055,0.1334148944733832,-0.5119623751065974,-0.8485470683990997,-0.5157047396576806,0.1824561953740813,0.0837919355193871,0.405581252810493,-0.3843287414176344,1.8099041818861448,-0.3622773279129265,-0.3991824707746015,0.0183492699897445,0.2175496766036816,-0.0298599018270964,0.6786957430036453,0.1676918697598601,0.5615587003601187,0.5429737920639982,0.4604803846448488,0.606616039566251,0.8181868809297798,1.6990142477123094,0.769663616847242,1.0672446490631018,-2.17498909908834,-1.0803635624052168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,6,6,6,6,6,6,6,6,6
6,0.5324142133969378,1.10790389676061,0.5195107500171783,0.582519804344595,0.8870314386629677,0.8521447713608559,0.7710237379402904,1.158135363283796,1.129882930801807,0.6497269042331998,0.0183107926603602,-0.5327873350853002,0.2352054893963663,-0.2029194850252482,0.0734688579564413,-0.2694510141156189,0.2633019595470201,-0.5164546293996375,-0.8248002991520167,0.0074425671997033,0.1503642707336963,0.2425883123257988,0.2510365852326306,-0.3880087363187268,-0.0605330778558519,-0.2962160139892214,-0.1858817623890604,0.1577176804459147,0.1911194708361073,-0.0898103594561217,0.6315030097249871,0.2627751017981229,0.6025702851423116,0.4908417768083852,1.0853867594298423,0.5495286427826008,0.808934885323756,1.6033377672419036,0.7023858213474281,1.5159303421530197,-0.8595240540435045,1.1216849922121417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,7,7,7,7,7,7,7,7
7,0.5703923563934167,0.9011475351028044,0.4872868115286666,0.5372468815543652,0.8797219372315987,0.8033714316998919,0.7900998113040831,1.1990556911349617,1.1761568574999015,0.5565922672854957,-0.0120115929359237,-0.451379572083394,0.2966726336404227,0.0024238109516458,0.0781914581608256,-0.1851978014601376,0.2437271036129517,-0.5368507969872941,-0.7445570195968411,0.1954057970252338,0.1597507722338826,0.0443333268278081,0.2898814113338744,-0.3793597676451919,-0.0508312039435009,-0.4373634871908722,-0.1216114082627741,0.2441794830206357,0.2140360077564928,-0.2145622952307275,0.6107175605819708,0.2523892544524568,0.5525204050700225,0.6036989853081413,0.9869379761236416,0.5981703714360345,0.7424483894542869,1.495970704907662,0.8944141309114267,1.398706598651776,0.0770434511584027,0.8843976501098669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8,8,8,8,8,8,8,8,8
8,0.4571070307601989,0.929296970588893,0.5184259031052231,0.4405263777358052,0.8801604372516737,0.6438698652875549,0.7904225194377077,1.182833685442264,1.3098825346961511,0.59730020199583,-0.0191366364832859,-0.5702568795879107,0.2238824147989433,0.0885926006786221,0.1133821938245188,-0.0427389114535248,0.2461043067913509,-0.5249197657920146,-0.8694633118880101,0.0649874349365817,0.2158944616714955,0.0339989805073897,0.4458241703320184,-0.4906564573890754,-0.110818689075232,-0.4884846131707633,-0.1202870306569143,0.2163322309240898,0.3349446059976367,-0.0920135977792268,0.6725513937202184,0.2369845434253433,0.5285121693756882,0.5722352723836123,0.9112910362723854,0.6042696672610677,0.6806553092812396,1.3781551935288008,0.8580454836706699,1.331705508516125,-1.2958737004742402,-1.3348676749854842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,9,9,9,9,9,9,9,9
9,0.554293564705608,0.9110982287333996,0.5867307266787503,0.3686912251034673,0.9021463245186534,0.6250646397532248,0.7903057595113823,1.1828337884518618,1.3447830364180269,0.5773375382988644,-0.1272119969114991,-0.5771040504920671,0.245937687004942,0.2041838835802537,0.0910959924494318,0.0006172766586127,0.2516891124841555,-0.5243841931956371,-0.8705908550175714,0.0425704865893342,0.219778889108436,0.1209635411225985,0.4095609799771292,-0.5234010731063218,-0.133086637126867,-0.516682298796851,-0.0864491931333272,0.2171559951858042,0.3483691267842796,-0.0472755358708679,0.648886841279875,0.2217935737253397,0.5048389215008148,0.5508482259270511,0.865446178344939,0.559641162099551,0.6368259795580352,1.2721682539934067,0.8018146520515447,1.264334783424218,-0.3745570984035441,0.7995540380521232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,10,10,10,10,10,10,10,10
