k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,200,59,100,90.44921998932034,92.38112681711817,80.53069394151558,2.1322766830502666,1.0658758650282818,0.05
2,200,282,82,141,120.32718841229807,122.52830988784703,109.61666702876488,2.0863867308925164,1.0588705011257737,0.05
3,282,400,118,200,162.96211602759666,164.44469433189832,151.3821248927119,1.981795689309801,1.0510564554373345,0.05
4,400,565,165,283,221.97287497611325,224.43280446908233,209.42855625497276,2.0234920499208524,1.041627730557885,0.05
5,565,800,235,400,303.4719933650773,305.77074690327544,291.4120678130068,1.9616399881845714,1.0294866917660106,0.05
6,800,1131,331,566,410.73070499023225,412.47321250322653,406.8330470451284,2.036564465036053,1.0,0.05
