k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,200,59,100,116.82416904220015,123.40271395499006,83.85410806861796,4.536634090557364,1.2635034601131272,0.2
2,200,282,82,141,150.78909584094424,156.9757637579258,113.21579781244861,4.594982945516154,1.235482004503095,0.2
3,282,400,118,200,197.764454349612,204.58326570932263,155.12353649135378,4.7147282119458795,1.2042258217493385,0.2
4,400,565,165,283,258.89865289042285,264.0040683618745,213.26095230128726,4.576497782087442,1.1665109222315395,0.2
5,565,800,235,400,340.2823938347257,345.20337687324496,295.75392794653055,4.607167138043157,1.1179467670640424,0.2
6,800,1131,331,566,420.02810863799465,425.21276450601675,411.5565434770587,4.681860340423456,1.0,0.2
