k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std
1,141,200,59,100,92.46050583172946,97.66709617395212,83.85410806861796,4.536634090557364
2,200,282,82,141,122.04879981363298,127.05629315989974,113.21579781244861,4.594982945516154
3,282,400,118,200,164.22538927318982,169.88779181975303,155.12353649135378,4.7147282119458795
4,400,565,165,283,221.94275934866417,226.31941401528738,213.26095230128726,4.576497782087442
5,565,800,235,400,304.3815715200618,308.78337595610196,295.75392794653055,4.607167138043157
6,800,1131,331,566,420.02810863799465,425.21276450601675,411.5565434770587,4.681860340423456
