Date,N,epsilon,segment,windows_1,scaled_windows_1,MLEs_B_11,MLEs_B_21,MLEs_B_31,MLEs_sigma_21
0,0.0,-0.8831561951101692,0,1,1.0,0.915494630621952,-2.0410845262817903,1.1838447124570532,0.17072911230670046
1,0.0,-0.5189377223679732,0,2,1.0,0.32744273428434256,-0.4888570277980794,-1.3993648708020545,0.38615897802433535
2,0.0,0.0474473146811402,0,3,1.0,1.1326706211160635,-0.6833673972307146,0.0692248736080625,0.45909776945236946
3,-0.826387590194094,-0.826387590194094,0,4,1.0,1.183423905661792,-0.7086211200122636,0.2088197315585956,0.403236373483586
4,-0.756553401635308,-0.0128045704606234,0,5,1.0,1.0649504267735288,-0.5531713718178086,-0.12138787136125147,0.45116059456434543
5,0.9941063460805653,1.6832682834542834,0,6,1.0,1.255850128851187,-0.7423830419008166,-0.12879005508106944,0.45875287079060645
6,1.4759738843962409,0.5971075828420261,0,7,1.0,1.325989055697763,-0.7257245889543152,-0.17786893948821,0.4271485511910947
7,1.4665073088272251,0.1357552834261557,0,8,1.0,1.340311369346185,-0.7096042434650149,-0.17765461698774399,0.39016026149169974
8,1.0305949971635289,-0.3139623830857418,0,9,1.0,1.3798934522710682,-0.6445920980430896,-0.002102011197900226,0.48146588511510574
9,0.6613849221469743,-0.2955753872324364,0,10,1.0,1.4347460866380721,-0.7329284859525983,0.08893029563553538,0.4485965333214257
10,-0.7520253924506455,-1.37224284544283,0,11,1.0,1.4238344964150969,-0.7222807714520972,0.06670785318285197,0.419699771851512
11,-2.163877323678788,-1.5039742696663116,0,12,1.0,1.4175423574923696,-0.7145024920993015,0.08019625517578208,0.3948902464646336
12,-2.733143736312344,-0.7847477402983986,0,13,1.0,1.4074465425266016,-0.6850610252569646,0.045474061048589726,0.3740603951626185
13,-2.104222799998934,0.3847655898434698,0,14,1.0,1.39653248614883,-0.6825670005684351,0.05996711828591483,0.35823732314885204
14,-2.0772234690327283,-0.1344527384337765,0,15,1.0,1.3444320307253799,-0.5550525328999175,-0.03553384979711848,0.3868190172202331
15,-1.8416369366271543,0.0762378508654138,0,16,1.0,1.1738700088866145,-0.32912498405881707,-0.13525247732900558,0.4423139937535269
16,-1.0735346912138817,0.6257530144408742,0,17,1.0,1.0987498644521514,-0.18692100829588917,-0.2128918418190653,0.43100860103220845
17,-0.5735182702884949,0.4318515558605976,0,18,1.0,1.0797046846252634,-0.14465286686458897,-0.24530007098793016,0.41341166248401684
18,0.0743790430651477,0.6196972026032036,0,19,1.0,0.9963826773365277,-0.018456726155299984,-0.3021863280467265,0.4999079157842836
19,0.1155967045381027,0.0651260953944935,0,20,1.0,0.8969380012612537,0.12155015174091977,-0.3675894352807288,0.4961662032597178
20,1.0400322529347927,0.9409866111227336,0,21,1.0,0.9467277872563241,-0.005364108783294292,-0.2866477629634401,0.49213254632480813
21,0.0489732691191603,-0.8889555159981856,0,22,1.0,0.9478819759244502,-0.003061392240780494,-0.29197645178000764,0.4727254074268778
22,0.2370454585655497,0.1814132267835764,0,23,1.0,0.9299739469425476,-0.007823747986293659,-0.27017467719826815,0.47572886954839405
23,-0.2367851869484288,-0.4610161548779631,0,24,1.0,0.9470934755106705,-0.03675630974588112,-0.2568730079238994,0.46268005273191654
24,1.2435978171203617,1.4538442980971005,0,25,1.0,0.9175870473245094,-0.0734651562354466,-0.18821581296253131,0.5566324107918436
25,0.4366205464386556,-0.6826200916858411,0,26,1.0,0.9380601762875939,-0.09894204745836623,-0.17909925150458222,0.5385818748180387
26,-0.0845058330749342,-0.4875324511714436,0,27,1.0,0.9372771914289193,-0.11943856737090078,-0.15994193775289953,0.5221514625824301
27,-0.5251201665294185,-0.4658671003975679,0,28,1.0,0.9371715519436404,-0.12694541419141916,-0.16330470937344552,0.5082434871087156
28,0.1269188571573589,0.5960058599001984,0,29,1.0,0.9572747421634258,-0.14414394594545982,-0.19257186119649256,0.5225899992151477
29,0.5044844788626898,0.3963537674171102,0,30,1.0,0.8535745487131609,-0.08712761866115155,-0.1494787798110572,0.5870414427557045
30,-1.178791603909054,-1.6288456217917542,0,31,1.0,0.7804570113227776,0.044581781672845336,-0.2231427628227348,0.591910463029851
31,-1.3435053885293329,-0.2889069783713843,0,32,1.0,0.7644273421586327,0.07639823047923044,-0.2469477323918208,0.5773667173734104
32,-1.0021562219203912,0.2137416990064721,0,33,1.0,0.7559581807696175,0.09444549128585518,-0.25893413309388946,0.5634113542111631
33,-0.2814638373395112,0.6456997323132249,0,34,1.0,0.781575109540292,0.046640373679897866,-0.22255187274739124,0.5809202588640605
34,1.0921484313991257,1.368922501109183,0,35,1.0,0.7496415381383892,0.0574292843524602,-0.21339457476432547,0.5807675515750124
35,-0.4372084398154433,-1.4073058274820571,0,36,1.0,0.7367911197131353,0.08577633951314884,-0.22487868551960127,0.5703481831301631
36,0.5450672980534723,0.9304480479467752,0,37,1.0,0.7753195290410153,0.011195178294335313,-0.14545591301757074,0.6224432699250222
37,-0.1510315149021628,-0.6481414830661247,0,38,1.0,0.7910334989026387,0.004114159316791685,-0.14630682313130858,0.6090165821356092
38,0.3162707723047349,0.4511205471343011,0,39,1.0,0.8034090192482193,0.060663445042001406,-0.17752629854422877,0.6248141153396234
39,1.2019672852894234,0.9133832323836488,0,40,1.0,0.7971946378864952,0.06391676677705002,-0.1819609349600856,0.6106896749402955
40,0.2110313334045882,-0.8723916159299187,0,41,1.0,0.7923686062504663,0.08876528528148894,-0.18218670083253904,0.6018780816612667
