k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,200,59,100,84.8590562531598,86.67156265393714,80.53069394151558,2.1322766830502666,1.0,0.0
2,200,282,82,141,113.63730341374907,115.71604814524244,109.61666702876488,2.0863867308925164,1.0,0.0
3,282,400,118,200,155.04601601993843,156.45657612508975,151.3821248927119,1.981795689309801,1.0,0.0
4,400,565,165,283,213.10192544242932,215.46354602990309,209.42855625497276,2.0234920499208524,1.0,0.0
5,565,800,235,400,294.7799090481615,297.0128213884413,291.4120678130068,1.9616399881845714,1.0,0.0
6,800,1131,331,566,410.73070499023225,412.47321250322653,406.8330470451284,2.036564465036053,1.0,0.0
