k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,method,calibration_cv,calibration_n
1,141,200,59,100,489.44194697665074,497.1611164149917,84.32439192170337,4.890277459875777,5.158506603655332,spokoiny_parametric,421.12525341806037,800
2,200,282,82,141,473.02096987853673,480.4811580314638,113.28143282180021,4.802214620627356,3.8462600406391414,spokoiny_parametric,421.12525341806037,800
3,282,400,118,200,458.391350628373,465.62080966110926,154.95661491659044,4.657695562528424,2.8009238327965793,spokoiny_parametric,421.12525341806037,800
4,400,565,165,283,444.8185414129088,451.83393866623356,213.55672424293058,4.986053806786596,1.993680868202609,spokoiny_parametric,421.12525341806037,800
5,565,800,235,400,432.5272726293453,439.34881975000656,295.89684467318455,4.868616650645534,1.4189469521370384,spokoiny_parametric,421.12525341806037,800
6,800,1131,331,566,421.12525341806037,427.766975088993,411.6792857758119,5.096530176201423,1.0,spokoiny_parametric,421.12525341806037,800
