k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std
1,141,200,59,100,94.88055062870926,97.56733834817953,84.32439192170337,4.890277459875777
2,200,282,82,141,122.98205656420824,128.17889655884406,113.28143282180021,4.802214620627356
3,282,400,118,200,163.65719955001157,167.87787596959794,154.95661491659044,4.657695562528424
4,400,565,165,283,223.11421477095894,227.8049363066613,213.55672424293058,4.986053806786596
5,565,800,235,400,304.82272221518036,310.5723264872582,295.89684467318455,4.868616650645534
6,800,1131,331,566,421.12525341806037,427.766975088993,411.6792857758119,5.096530176201423
