Date,N,epsilon,windows_10,scaled_windows_10,MLEs_B_110,MLEs_B_210,MLEs_B_310,MLEs_sigma_210
0,0.0,0.5061256096497221,1,1.0,-0.06579448446519076,-0.26900987527766196,-2.3377597816509175,0.0837105146994921
1,0.0,0.2918600206219321,2,1.0,1.0500519962379422,-0.0671910357042924,-1.9977332392672,0.16677919321340134
2,0.0,1.0036035126755964,3,1.0,1.1458866758347277,0.6812140100339156,-1.8534989775356272,0.18835440414454108
3,0.5786553886364219,0.5786553886364219,4,1.0,1.1477085816370463,0.6811058680121425,-1.8387913584913336,0.16146388451104485
4,-0.03807233297833801,-0.5588621827511177,5,1.0,1.1968725167893375,0.602264028012056,-1.8787260644001345,0.14285742505862672
5,-0.15315906440513402,-0.12468051861099402,6,1.0,0.847019682057878,0.1104465639867577,-0.1551524161011958,0.6122563217607419
6,-1.3324384397600693,-1.2000011123520296,7,1.0,0.6237677337130486,0.5630438808798864,-0.5588138051041834,0.6960378645468854
7,-1.588980930029831,-0.3878740202719338,8,1.0,0.8755007860632047,0.22539796819448463,-0.4856192783790918,0.7267558744800375
8,-2.65841109848713,-1.21347228641863,9,1.0,0.8824469750646823,0.2386254808533871,-0.5059228091439815,0.6666485256333187
9,-1.6875058346372347,0.7342783476990818,10,1.0,0.767915058809847,0.22600731415544237,-0.48982570512368734,0.7192837264839292
10,-0.5834539880020561,0.9777751834566247,11,1.0,0.8163006735138627,0.13629303878676216,-0.4822817374455684,0.6834877784406567
11,-1.2353981890815184,-0.6668304305484244,12,1.0,0.6989953981425996,-0.10095524340656284,0.09068297713556535,1.3703971274826705
12,0.7504699902041305,1.8850379586038901,13,1.0,0.5837237509743406,0.02698876420315938,0.034559637146101045,1.306176287954499
13,1.435365456689144,0.7781309872762623,14,1.0,0.6076157006211045,-0.16602786717869986,0.17087793123184586,1.283370094063935
14,2.125529594638431,0.838549965606975,15,1.0,0.6050599762371391,-0.16575019233802085,0.17626978635597504,1.2121954651869689
15,0.5448068746193633,-1.3900281150241576,16,1.0,0.6051472708607881,-0.16607491470848648,0.17661233903057444,1.1483969551964024
16,-0.35439809385209986,-0.8803332315228025,17,1.0,0.5919420217707155,-0.17315675214072168,0.20239650556782005,1.1533846353956232
