Date,N,epsilon,windows_2,scaled_windows_2,MLEs_B_12,MLEs_B_22,MLEs_B_32,MLEs_sigma_22
0,0.0,-1.1339234658596355,1,1.0,0.9706388258650263,-0.19753566564986058,-2.06258164261245,0.2225667754805793
1,0.0,-0.16962642994786178,2,1.0,0.1973573073502633,0.47898339556594594,-1.7795470000527893,0.33410487474476486
2,0.0,-0.6195562447691487,3,1.0,0.08966501442453571,1.0726295608352139,-2.422044328331756,0.32594228316035906
3,0.9435396663216217,0.9435396663216217,4,1.0,1.2547624618468598,0.5504404236299659,-0.909716700921566,1.1517313651992815
4,0.9158362338754976,0.06665053418603802,5,1.0,1.2324480742882669,0.3692524024397486,-0.8874383677004832,1.0499985713520057
5,0.7025634706796717,-0.13112453647149236,6,1.0,1.2616082317335855,0.31167250003101116,-1.1001662717714016,0.9851934810548484
6,-1.445102532640337,-2.096003415254013,7,1.0,1.021272407963171,0.5649562382877824,-0.7999517426341032,1.1342718850993423
7,-1.224716915630621,0.059691366700130595,8,1.0,1.0424846682106523,0.45752466659410057,-0.6453820070590941,1.0577193751084477
8,-3.5676098312287325,-2.457939216541567,9,1.0,1.006652599565155,0.5052834952069164,-0.6318407511390299,0.9889008219851888
9,-4.75782151839078,-1.520274475802211,10,1.0,1.0051213852517964,0.5141909723784192,-0.6438368315759986,0.9135364465325799
10,-5.771787586424773,-1.441824952404478,11,1.0,0.8718949776047855,0.6691888002454591,-0.6098478629880483,1.1288290395612297
11,-4.463470313180821,0.8143928280976716,12,1.0,0.9073220602113904,0.6082598716135496,-0.5734248927755806,1.063285462796321
12,-4.921526750171197,-0.7991073772603025,13,1.0,0.9117236733597386,0.5877054079339713,-0.560752030532984,0.9988672096601168
13,-3.7884294991818064,0.7432971549683275,14,1.0,0.9271000135301815,0.5556289666258214,-0.5277602601022577,0.9628674740953787
14,-3.8884613532584824,-0.38502483336133625,15,1.0,0.9275233788558371,0.5599149701364404,-0.529369866068756,0.9106202714141381
15,-2.6063205098667988,0.9803942705593655,16,1.0,0.9186204064893017,0.5665139075455328,-0.5431423948841525,0.8917332954372164
16,-4.36318418036605,-1.9407268129615283,17,1.0,0.8482145789587769,0.6506765615028618,-0.5235115228677739,0.9876232066978627
17,-3.633499349422472,0.35831423153822556,18,1.0,0.88686921629454,0.595060034223154,-0.4954133471499451,0.9577206827166164
18,-4.2541673233186925,-0.9143228619361392,19,1.0,0.8780535238507078,0.4516194669735276,-0.37400910393360637,1.1112581620668
19,-4.23751327121679,-0.32879584493208197,20,1.0,0.9181320742517314,0.42520816985638116,-0.4015947217257055,1.083848146010181
20,-4.531703670537342,-0.6390650597148191,21,1.0,0.917457387855108,0.4248547224185465,-0.4002786934063846,1.0387014381495143
21,-3.5447357670254167,0.6187143424035472,22,1.0,0.9386082501901045,0.4297698870441699,-0.43488376579551874,1.0263347764028814
22,-5.309084705366535,-2.03113034562612,23,1.0,0.8676278596056364,0.4592901834313014,-0.3837100538365448,1.0875180188589992
23,-5.108558753970745,-0.24961812476523548,24,1.0,0.8736675485669902,0.4476220166981547,-0.37715631290185886,1.0481158549138598
24,-3.6549469819741156,1.0312941013234744,25,1.0,0.8828554677011297,0.40111640998447734,-0.3431672443684574,1.0401499894964832
25,-2.7665812033863126,0.6270475149837644,26,1.0,0.8680210175967886,0.3990442945565687,-0.32146246248149596,1.0387728650328747
26,-2.0625874170611116,0.5149707233460188,27,1.0,0.8815717434736645,0.3805704875527853,-0.31379084201069196,1.0155979727400566
