k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,200,59,100,115.09499867403936,120.99475286412331,84.26266293617435,4.75568572919063,1.2371531141018144,0.18
2,200,282,82,141,147.063701443675,150.5212153252429,112.95825150435587,4.362876852527027,1.2119338040527854,0.18
3,282,400,118,200,194.12263839882016,198.38705566610875,155.47292532221385,4.605035801526294,1.1838032395744045,0.18
4,400,565,165,283,254.9680080903161,260.2287290174239,213.40948484185594,4.684099756132272,1.1498598300083855,0.18
5,565,800,235,400,337.7335417906411,342.77084064354403,296.28474110260925,4.999470341140163,1.106152090357638,0.18
6,800,1131,331,566,421.2250628520786,426.89734912521357,411.70099685788153,4.9221169649834415,1.0,0.18
