k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,200,59,100,111.4178551523569,117.12911945887062,84.26266293617435,4.75568572919063,1.1976275950848454,0.15
2,200,282,82,141,142.7774704107019,146.13421365239992,112.95825150435587,4.362876852527027,1.1766115033773212,0.15
3,282,400,118,200,189.099229015171,193.25329380686486,155.47292532221385,4.605035801526294,1.1531693663120037,0.15
4,400,565,165,283,249.429729807343,254.57618017681654,213.40948484185594,4.684099756132272,1.1248831916736546,0.15
5,565,800,235,400,332.3317648021238,337.28849610202735,296.28474110260925,4.999470341140163,1.0884600752980318,0.15
6,800,1131,331,566,421.2250628520786,426.89734912521357,411.70099685788153,4.9221169649834415,1.0,0.15
