k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,141,200,59,100,105.28928261621947,110.68639711678279,84.26266293617435,4.75568572919063,1.1317517300565636,0.1
2,200,282,82,141,135.6337520224134,138.82254419766164,112.95825150435587,4.362876852527027,1.1177410022515475,0.1
3,282,400,118,200,180.72688004242247,184.69702404145843,155.47292532221385,4.605035801526294,1.1021129108746692,0.1
4,400,565,165,283,240.19926600238787,245.15526544247095,213.40948484185594,4.684099756132272,1.0832554611157699,0.1
5,565,800,235,400,323.32880315459494,328.1512551994995,296.28474110260925,4.999470341140163,1.0589733835320212,0.1
6,800,1131,331,566,421.2250628520786,426.89734912521357,411.70099685788153,4.9221169649834415,1.0,0.1
